Getting tweets for 55 Twitter handles
done in 8253.959s
number of users collected: 55
A total of 161838 tweets have been collected
AndrewYang 3060 from: 2020-01-25 to: 2020-05-25
BernieSanders 3178 from: 2019-09-20 to: 2020-05-24
BetoORourke 3102 from: 2019-01-10 to: 2020-05-24
BilldeBlasio 2126 from: 2016-10-19 to: 2020-03-12
BobbyJindal 3203 from: 2012-09-13 to: 2020-05-20
CarlyFiorina 3155 from: 2011-08-03 to: 2020-05-23
CoryBooker 3151 from: 2018-11-08 to: 2020-05-24
DevalPatrick 2029 from: 2011-03-25 to: 2020-05-14
GovBillWeld 966 from: 2019-02-14 to: 2020-03-23
GovChristie 3169 from: 2014-10-25 to: 2020-05-24
GovMikeHuckabee 3189 from: 2018-08-03 to: 2020-05-24
GovernorBullock 3180 from: 2018-09-11 to: 2020-05-24
GovernorPataki 2372 from: 2014-10-19 to: 2020-05-23
GovernorPerry 3175 from: 2009-07-11 to: 2020-05-24
Hickenlooper 3155 from: 2015-07-30 to: 2020-05-25
HillaryClinton 3183 from: 2016-09-30 to: 2020-05-23
JayInslee 3163 from: 2019-05-08 to: 2020-05-24
JebBush 3155 from: 2015-12-13 to: 2020-05-24
JimWebbUSA 1765 from: 2014-08-20 to: 2020-05-09
JoeBiden 3177 from: 2019-04-25 to: 2020-05-24
JoeSestak 3148 from: 2015-07-17 to: 2020-02-15
JohnDelaney 3172 from: 2019-03-20 to: 2020-05-24
JohnKasich 3204 from: 2016-10-07 to: 2020-05-22
JoinRocky 3042 from: 2016-11-09 to: 2020-05-17
JulianCastro 3147 from: 2019-08-01 to: 2020-05-24
KamalaHarris 3222 from: 2019-03-22 to: 2020-05-25
LincolnChafee 3100 from: 2010-10-11 to: 2020-04-08
LindseyGrahamSC 3208 from: 2018-07-12 to: 2020-05-24
MarkSanford 1895 from: 2009-04-08 to: 2020-05-21
MartinOMalley 3106 from: 2015-08-23 to: 2020-05-22
MauriceGravel 8 from: 2019-11-05 to: 2020-05-10
MichaelBennet 3201 from: 2019-01-08 to: 2020-05-23
MikeBloomberg 3191 from: 2016-08-25 to: 2020-05-24
PeteButtigieg 3091 from: 2019-02-25 to: 2020-05-24
RandPaul 3179 from: 2017-02-15 to: 2020-05-22
RealBenCarson 3080 from: 2014-02-01 to: 2020-05-24
RepTimRyan 3169 from: 2017-12-05 to: 2020-05-24
RickSantorum 3173 from: 2013-12-20 to: 2020-05-24
ScottWalker 3061 from: 2019-04-16 to: 2020-05-24
SenGillibrand 3225 from: 2018-08-25 to: 2020-05-24
TomSteyer 3186 from: 2019-04-29 to: 2020-05-22
TulsiGabbard 3099 from: 2017-12-05 to: 2020-05-25
VoteOjeda2020 3110 from: 2019-02-27 to: 2020-05-24
WalshFreedom 3125 from: 2020-03-18 to: 2020-05-25
WayneMessam 2879 from: 2016-10-04 to: 2020-05-24
amyklobuchar 3169 from: 2019-03-28 to: 2020-05-25
ericswalwell 3134 from: 2018-09-07 to: 2020-05-25
ewarren 3198 from: 2019-10-24 to: 2020-05-25
gov_gilmore 3131 from: 2015-09-15 to: 2020-05-24
lessig 3074 from: 2016-05-30 to: 2020-05-20
marcorubio 3127 from: 2019-02-28 to: 2020-05-24
marwilliamson 3044 from: 2020-02-13 to: 2020-05-25
realDonaldTrump 3014 from: 2020-02-08 to: 2020-05-25
sethmoulton 3214 from: 2017-11-04 to: 2020-05-22
tedcruz 3059 from: 2019-05-22 to: 2020-05-25
Results saved in data/extract_candidate_tweets.json
